"Bb","Bb","Bb","Oag","Oag","Oag","TTSSI","TTSSI","TTSSI","TTSSII","TTSSII","TTSSII","EC","EC","EC","Cab","Cab","Cab","C","C","C","AgAb","AgAb","AgAb","Oab","Oab","Oab","BC","BC","BC","PIC","PIC","PIC","IL12I","IL12I","IL12I","IL12II","IL12II","IL12II","IFNgII","IFNgII","IFNgII","IFNgI","IFNgI","IFNgI","IL4I","IL4I","IL4I","IL4II","IL4II","IL4II","IL10II","IL10II","IL10II","IL10I","IL10I","IL10I","RP","RP","RP","DP","DP","DP","MPII","MPII","MPII","MPI","MPI","MPI","AP","AP","AP","T0","T0","T0","TrII","TrII","TrII","TrI","TrI","TrI","Th1II","Th1II","Th1II","Th1I","Th1I","Th1I","Th2II","Th2II","Th2II","Th2I","Th2I","Th2I","DCII","DCII","DCII","DCI","DCI","DCI","PH","PH","PH"
"conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay","conc","threshold","decay"
0.02,0.0001,0,0,0.0001,0,0,0.350641839661187,0.883554,0,0.350641839661187,0.883554,0,1.5020444959593,0.031059,0,0.110911344059808,0.886032,0,0.328106177722454,0.796928,0,0.270192701116595,0.505913,0,0.309335863459259,0.464799,0,2.25756212215858,0.094451,0,1.78151843980615,0.213153,0,3.04726997763051,0.095219,0,3.04726997763051,0.095219,0,0.0103059976046565,0.465069,0,0.702844094102166,0.465069,0,0.936516740928568,0.328118,0,0.936516740928568,0.328118,0,0.610652479667339,0.343413,0,0.347901797544065,0.343413,0,0.146160580620393,0.492301,0,0.507495361154207,0.710306,0,0.351339844691253,0.676459,0,0.351339844691253,0.676459,0,0.147999933776557,0.845622,0,0.616650012575538,0.147111,0,0.0509951247183735,0.373722,0,0.0509951247183735,0.373722,0,2.96596948397051,0.128326,0,2.34140392438009,0.128326,0,0.117693874757101,0.978802,0,0.00356251826212043,0.978802,0,1.68469877376933,0.05627,0,0,0.05627,0,0,0
0.02,0.0001,0,0,0.0001,0,0,0.471039137149776,0.509567,0,0.471039137149776,0.509567,0,2.78389452466708,0.030263,0,0.721788101135673,0.42794,0,0.23343704303568,0.953302,0,0.387213088482747,0.549124,0,0.782116044765705,0.501634,0,0.467371949303446,0.114564,0,0.38571239494408,0.483552,0,2.11570824912732,0.081645,0,2.11570824912732,0.081645,0,0.252324744260769,0.431983,0,0.405809950854547,0.431983,0,0.38862017217592,0.495772,0,0.38862017217592,0.495772,0,0.0357148699779616,0.427889,0,0.170738205469175,0.427889,0,0.688291295323645,0.496733,0,0.21715084543243,0.930648,0,0.253562436821773,0.582677,0,0.253562436821773,0.582677,0,1.05906047851756,0.177005,0,1.59874092434579,0.091178,0,0.397652736076682,0.847966,0,0.397652736076682,0.847966,0,0.789791113810114,0.120209,0,2.77396867123094,0.120209,0,0.13061515288703,0.823909,0,0.101370418335035,0.823909,0,0.468734098287811,0.139529,0,0,0.139529,0,0,0
0.02,0.0001,0,0,0.0001,0,0,0.308748398017492,0.746731,0,0.308748398017492,0.746731,0,1.99353822517446,0.154911,0,0.113845945518969,0.221545,0,0.491761359930073,0.613208,0,0.375869205525536,0.727676,0,1.11500128368964,0.346657,0,0.83381601362862,0.10566,0,0.222260212896711,0.880333,0,0.65561085246428,0.06229,0,0.65561085246428,0.06229,0,2.63878410336275,0.086685,0,4.51203783814962,0.086685,0,0.738262070845687,0.381477,0,0.738262070845687,0.381477,0,0.26586740689021,0.234884,0,0.141027060165869,0.234884,0,1.36455287539087,0.206911,0,0.227205013148054,0.331608,0,0.377109782501722,0.487728,0,0.377109782501722,0.487728,0,1.89232540082549,0.146822,0,0.5810674366287,0.169359,0,0.427383147686607,0.684903,0,0.427383147686607,0.684903,0,10.639486438228,0.035283,0,8.43981520845733,0.035283,0,0.0684590174341557,0.504068,0,0.571458612726854,0.504068,0,1.71781449960741,0.110803,0,0,0.110803,0,0,0
0.02,0.0001,0,0,0.0001,0,0,0.663705356081386,0.462633,0,0.663705356081386,0.462633,0,2.87362202326573,0.049257,0,0.0680549311084679,0.702844,0,0.090155415308953,0.412765,0,0.262678967444336,0.56365,0,0.374707567972956,0.714696,0,0.222948391874054,0.186366,0,0.0557829408406913,0.741033,0,1.8723992480134,0.189897,0,1.8723992480134,0.189897,0,0.613981112684319,0.453426,0,0.863415419495133,0.453426,0,2.79923069377689,0.142726,0,2.79923069377689,0.142726,0,0.593498336130817,0.341974,0,0.275512173440086,0.341974,0,0.644858761300972,0.586454,0,0.171633597034987,0.950822,0,0.250205219336623,0.775999,0,0.250205219336623,0.775999,0,0.0832432040819495,0.772964,0,1.67593026032959,0.104675,0,0.47633391730308,0.58793,0,0.47633391730308,0.58793,0,1.26752780496245,0.184949,0,1.52580441094572,0.184949,0,0.12476054425546,0.792422,0,0.0482470198959645,0.792422,0,2.56316052871736,0.067938,0,0,0.067938,0,0,0
0.02,0.0001,0,0,0.0001,0,0,0.119461533775964,0.902935,0,0.119461533775964,0.902935,0,1.95158649465887,0.151466,0,0.911730497365377,0.31124,0,0.397215744265255,0.689089,0,0.982888695085688,0.380684,0,0.305290362555745,0.122657,0,0.00772972612780702,0.120056,0,1.21362118080318,0.248187,0,1.89834961759432,0.136635,0,1.89834961759432,0.136635,0,4.31628023050048,0.044078,0,3.74456645038341,0.044078,0,3.44151261085675,0.086711,0,3.44151261085675,0.086711,0,0.365643774458469,0.435432,0,0.0703439342997299,0.435432,0,0.0799422685894193,0.737207,0,1.06254143181332,0.285107,0,0.0420691041747683,0.756018,0,0.0420691041747683,0.756018,0,1.47618170056565,0.265888,0,0.743265409379871,0.122539,0,2.47826363739249,0.141376,0,2.47826363739249,0.141376,0,2.25675740011188,0.168038,0,1.64655613611207,0.168038,0,1.04769423422442,0.165303,0,1.78148611942917,0.165303,0,0.423931152147732,0.19928,0,0,0.19928,0,0,0
0.02,0.0001,0,0,0.0001,0,0,0.146991069905011,0.984536,0,0.146991069905011,0.984536,0,1.63870711665129,0.186436,0,0.177967516626627,0.431236,0,0.70666777770712,0.456029,0,0.275484909489429,0.738643,0,0.838025705376835,0.197235,0,0.338892448337525,0.104573,0,0.784009064944741,0.450968,0,2.21811134940709,0.103979,0,2.21811134940709,0.103979,0,0.450728210021336,0.452754,0,0.453036306691934,0.452754,0,2.49597239714526,0.152448,0,2.49597239714526,0.152448,0,0.283877980462381,0.358795,0,0.258317423598434,0.358795,0,0.17947485334466,0.696872,0,0.152795526466227,0.809919,0,0.283659061567034,0.989117,0,0.283659061567034,0.989117,0,0.227568283068316,0.413243,0,0.805619402393596,0.176638,0,0.399022294105385,0.796354,0,0.399022294105385,0.796354,0,3.38247096767326,0.093947,0,1.23415329920061,0.093947,0,0.635630749183987,0.620088,0,0.527449329772548,0.620088,0,0.37836040400545,0.184948,0,0,0.184948,0,0,0
0.02,0.0001,0,0,0.0001,0,0,0.483518349111277,0.818759,0,0.483518349111277,0.818759,0,0.508232034758836,0.163872,0,0.796224592642365,0.23812,0,0.47054102578953,0.604315,0,0.0397172074233051,0.39605,0,0.0692497948969887,0.826414,0,2.20000112822885,0.177269,0,0.241235203934722,0.385491,0,4.63941490297239,0.034114,0,4.63941490297239,0.034114,0,3.58840719296901,0.091367,0,4.15479330611709,0.091367,0,1.41444360624364,0.197513,0,1.41444360624364,0.197513,0,1.98404372965971,0.126596,0,1.7986192296755,0.126596,0,0.0753050555785077,0.614806,0,0.453809373680443,0.878609,0,0.132367368500491,0.39753,0,0.132367368500491,0.39753,0,0.0440703287203585,0.953181,0,0.0341648050803078,0.150857,0,0.625609557566654,0.540556,0,0.625609557566654,0.540556,0,1.84976072904063,0.183474,0,1.62276398835802,0.183474,0,0.382235608457118,0.891131,0,0.393389972966937,0.891131,0,1.03533547487727,0.032998,0,0,0.032998,0,0,0
0.02,0.0001,0,0,0.0001,0,0,0.370793090218451,0.839274,0,0.370793090218451,0.839274,0,0.80340505826981,0.093273,0,0.42483485281913,0.328949,0,0.496950972857085,0.593304,0,1.24084019813708,0.148584,0,0.177208488869429,0.404247,0,0.399461480759973,0.178638,0,1.54436246921833,0.203449,0,0.510836411461831,0.285888,0,0.510836411461831,0.285888,0,0.832151751684848,0.125679,0,2.01745717263823,0.125679,0,1.26474902151472,0.250898,0,1.26474902151472,0.250898,0,0.657645241412734,0.264112,0,0.111994153995275,0.264112,0,0.396184700351294,0.343302,0,0.323947148352567,0.5979,0,0.222373746678544,0.526501,0,0.222373746678544,0.526501,0,0.477407828255758,0.699645,0,0.191952659074448,0.064891,0,0.283236152526384,0.631812,0,0.283236152526384,0.631812,0,8.90756512331123,0.036047,0,5.69414930507393,0.036047,0,0.077139342402274,0.418645,0,0.47814735635204,0.418645,0,0.228605769230769,0.1872,0,0,0.1872,0,0,0
0.02,0.0001,0,0,0.0001,0,0,0.0320382908037901,0.984884,0,0.0320382908037901,0.984884,0,0.871266433750025,0.198068,0,0.871213524612842,0.415657,0,0.182366141427635,0.491078,0,0.488714920582668,0.583248,0,0.602331282357748,0.327974,0,2.19141788252899,0.13365,0,0.896388968579661,0.400855,0,4.05896825396825,0.0126,0,4.05896825396825,0.0126,0,0.932574551996125,0.173436,0,1.86773795521114,0.173436,0,0.697817999414789,0.47846,0,0.697817999414789,0.47846,0,0.263754316854945,0.339657,0,0.236927253081785,0.339657,0,0.70553193624039,0.398685,0,0.519958464754639,0.436256,0,0.154076411642014,0.720597,0,0.154076411642014,0.720597,0,0.636658541193902,0.534533,0,1.35170884172538,0.186208,0,0.418588414070682,0.876546,0,0.418588414070682,0.876546,0,2.24261793582003,0.160829,0,1.78041895429307,0.160829,0,0.233941615566449,0.975534,0,0.182027484434166,0.975534,0,0.389408449859868,0.133446,0,0,0.133446,0,0,0
